Los Banos,City,Merced,"35,972",9.99,25.9,8-May-07
Los Gatos,Town,Santa Clara,"29,413",11.08,28.7,"August 10, 1887"
Loyalton,City,Sierra,769,0.36,0.93,21-Jul-01
Lynwood,City,Los Angeles,"69,772",4.84,12.5,21-Jul-21
Madera,City,Madera,"61,416",15.79,40.9,27-Mar-07
Malibu,City,Los Angeles,"12,645",19.78,51.2,28-Mar-91
Mammoth Lakes,Town,Mono,"8,234",24.87,64.4,20-Aug-84
Manhattan Beach,City,Los Angeles,"35,135",3.94,10.2,12-Dec-12
Manteca,City,San Joaquin,"67,096",17.73,45.9,5-Jun-18
Maricopa,City,Kern,"1,154",1.5,3.9,25-Jul-11
Marina,City,Monterey,"19,718",8.88,23,13-Nov-75
Martinez,City,Contra Costa,"35,824",12.13,31.4,"April 1, 1876"
Marysville,City,Yuba,"12,072",3.46,9,"February 5, 1851"
Maywood,City,Los Angeles,"27,395",1.18,3.1,2-Sep-24
McFarland,City,Kern,"12,707",2.67,6.9,18-Jul-57
Mendota,City,Fresno,"11,014",3.28,8.5,17-Jun-42
Menifee,City,Riverside,"77,519",46.47,120.4,1-Oct-08
Menlo Park,City,San Mateo,"32,026",9.79,25.4,23-Nov-27
Merced,City,Merced,"78,958",23.32,60.4,"April 1, 1889"
Mill Valley,City,Marin,"13,903",4.76,12.3,1-Sep-00
Millbrae,City,San Mateo,"21,532",3.25,8.4,14-Jan-48
Milpitas,City,Santa Clara,"66,790",13.59,35.2,26-Jan-54
Mission Viejo,City,Orange,"93,305",17.74,45.9,31-Mar-88
Modesto,City,Stanislaus,"201,165",36.87,95.5,"August 6, 1884"
Monrovia,City,Los Angeles,"36,590",13.6,35.2,"December 15, 1887"
Montague,City,Siskiyou,"1,443",1.78,4.6,28-Jan-09
Montclair,City,San Bernardino,"36,664",5.52,14.3,25-Apr-56
Monte Sereno,City,Santa Clara,"3,341",1.62,4.2,14-May-57
Montebello,City,Los Angeles,"62,500",8.33,21.6,16-Oct-20
Monterey,City,Monterey,"27,810",8.47,21.9,"June 14, 1890"
Monterey Park,City,Los Angeles,"60,269",7.67,19.9,29-May-16
Moorpark,City,Ventura,"34,421",12.58,32.6,1-Jul-83
Moraga,Town,Contra Costa,"16,016",9.43,24.4,13-Nov-74
Moreno Valley,City,Riverside,"193,365",51.27,132.8,3-Dec-84
Morgan Hill,City,Santa Clara,"37,882",12.88,33.4,10-Nov-06
Morro Bay,City,San Luis Obispo,"10,234",5.3,13.7,17-Jul-64
Mount Shasta,City,Siskiyou,"3,394",3.77,9.8,31-May-05
Mountain View,City,Santa Clara,"74,066",12,31.1,7-Nov-02
Murrieta,City,Riverside,"103,466",33.58,87,1-Jul-91
Napa,City,Napa,"76,915",17.84,46.2,"March 23, 1872"
National City,City,San Diego,"58,582",7.28,18.9,"September 17, 1887"
Needles,City,San Bernardino,"4,844",30.81,79.8,30-Oct-13
Nevada City,City,Nevada,"3,068",2.19,5.7,"April 19, 1856"
Newark,City,Alameda,"42,573",13.87,35.9,22-Sep-55
Newman,City,Stanislaus,"10,224",2.1,5.4,10-Jun-08
Newport Beach,City,Orange,"85,186",23.8,61.6,1-Sep-06
Norco,City,Riverside,"27,063",13.96,36.2,28-Dec-64
Norwalk,City,Los Angeles,"105,549",9.71,25.1,26-Aug-57
Novato,City,Marin,"51,904",27.44,71.1,20-Jan-60
Oakdale,City,Stanislaus,"20,675",6.04,15.6,24-Nov-06
Oakland,City,Alameda,"390,724",55.79,144.5,"May 4, 1852"
Oakley,City,Contra Costa,"35,432",15.85,41.1,1-Jul-99
Oceanside,City,San Diego,"167,086",41.23,106.8,"July 3, 1888"
Ojai,City,Ventura,"7,461",4.39,11.4,5-Aug-21
Ontario,City,San Bernardino,"163,924",49.94,129.3,"December 10, 1891"
Orange,City,Orange,"134,616",24.8,64.2,"April 6, 1888"
Orange Cove,City,Fresno,"9,078",1.91,4.9,20-Jan-48
Orinda,City,Contra Costa,"17,643",12.68,32.8,1-Jul-85
Orland,City,Glenn,"7,291",2.97,7.7,11-Nov-09
Oroville,City,Butte,"15,546",12.99,33.6,3-Jan-06
Oxnard,City,Ventura,"197,899",26.89,69.6,30-Jun-03
Pacific Grove,City,Monterey,"15,041",2.86,7.4,"July 5, 1889"
Pacifica,City,San Mateo,"37,234",12.66,32.8,22-Nov-57
Palm Desert,City,Riverside,"48,445",26.81,69.4,26-Nov-73
Palm Springs,City,Riverside,"44,552",94.12,243.8,20-Apr-38
